№	ДОМА ИЗ БАЗЫ	ДОМА ИЗ ГИС ЖКХ	КОД ГИС-ФИАС	УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ
103	КОСМОДЕМЬЯНСКОЙ  54А	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 54А	8318f35c-a7b2-4801-9e0c-5269495f5dbe	"ТСЖ ""КОМФОРТ-20"""
104	КОСМОДЕМЬЯНСКОЙ  58	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 58	7e60a38e-8ade-4d9c-b0a1-08d329465d3f	"ТСЖ ""КОМФОРТ-20"""
105	КОСМОДЕМЬЯНСКОЙ  58А	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 58А	c2310af2-2b86-494d-9a1c-3f8f81386aaf	"ТСЖ ""КОМФОРТ-20"""
106	КОСМОДЕМЬЯНСКОЙ  60	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 60	faab4054-2315-4f77-887a-a8706921609f	"ТСЖ ""КОМФОРТ-20"""
107	КОСМОДЕМЬЯНСКОЙ  60Е	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 60Е	f4d86aa9-0bfa-40b5-9eb1-9eecec3cbf40	МУП ЖЭУ -3
108	ЛЕВИНА  41	367000, Респ Дагестан, г Махачкала, ул Левина, д. 41	26cdaec9-7c27-4d2e-a03e-3f3de2808242	"ООО ""УК-3"""
109	ЛЕВИНА  46	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46	f8280f37-1317-4642-83b8-8369a55fee3e	"ООО ""УК-3"""
110	ЛОМОНОСОВА   3	367010, Респ Дагестан, г Махачкала, ул Ломоносова, д. 3	1e431068-59b0-43e2-a1df-7e27d5b5de84	"ООО ""УО- 2"""
111	М.ГАДЖИЕВА   3	367000, Респ Дагестан, г Махачкала, ул Магомета Гаджиева, д. 3	5de72538-9cf1-4ba5-b0fc-a4b03384560a	"ООО ""УК-1"""
112	М.ГАДЖИЕВА   5	367000, Респ Дагестан, г Махачкала, ул Магомета Гаджиева, д. 5	b1814006-f19c-4893-a018-a0de1d890d83	"ТСЖ ""ЦЕНТР"""
113	М.ГАДЖИЕВА   7	367000, Респ Дагестан, г Махачкала, ул Магомета Гаджиева, д. 7	1124d7da-734c-4af3-aa3f-9a139377d04c	"ТСЖ ""ЦЕНТР"""
114	М.ГАДЖИЕВА 210А	367000, Респ Дагестан, г Махачкала, ул Магомета Гаджиева, д. 210А	8f426c66-7b49-4d2c-a50b-6e24e4be18c0	"ООО ""УК-15"""
115	М.ГАДЖИЕВА 210В	367000, Респ Дагестан, г Махачкала, ул Магомета Гаджиева, д. 210В	3beb7b58-c782-4ebe-a7f5-a75de3c4e8fa	ЧАСТНЫЙ ДОМ 
116	МАЛЫГИНА   1	Респ Дагестан, г Махачкала, ул Малыгина, д. 1	8605617f-3aca-417e-8ed2-06895ff8b6e9	"ООО ""УК-1"""
117	НАБЕРЕЖНАЯ/ТИХОНОВА   1	367913, Респ Дагестан, г Махачкала, ул Тихонова, д. 1	0757d4cb-d9e0-410e-a78d-e280d1212d0a	МУП ЖЭУ -12
118	НАБЕРЕЖНАЯ/ТИХОНОВА  43	367913, Респ Дагестан, г Махачкала, ул Тихонова, д. 5	de4f97b0-0344-413d-a56c-959fa4ac3e85	НАХОДИТСЯ ПОД НЕПОСРЕДСТВЕННЫМ УПРАВЛЕНИЕМ 
119	НЕВСКОГО   4	367009, Респ Дагестан, г Махачкала, ул Невского, д. 4	0ef397b6-25a2-4d09-a311-e00f40e92963	"ООО ""УК-15"""
120	НЕВСКОГО   6	367009, Респ Дагестан, г Махачкала, ул Невского, д. 6	ab9f855c-54f5-4e62-9a5e-499edb89d5f3	"ООО ""УК-15"""
121	НЕФТЕКАЧКА 1 МАХ   1	367009, Респ Дагестан, г Махачкала, кв-л Нефтекачка, д. 1	907d5722-dc46-41f8-95f4-0b3595c235ed	"ООО ""УК-15"""
122	НЕФТЕКАЧКА 1 МАХ   2	367009, Респ Дагестан, г Махачкала, кв-л Нефтекачка, д. 2	8eb92e21-f422-4401-9131-c2adcac6d09d	"ООО ""УК-15"""
123	НЕФТЕКАЧКА 1 МАХ   3	367009, Респ Дагестан, г Махачкала, кв-л Нефтекачка, д. 3	32ce8572-dae0-4038-9caf-5303737b6017	"ООО ""УК-15"""
124	НЕФТЕКАЧКА 1 МАХ   4	367009, Респ Дагестан, г Махачкала, кв-л Нефтекачка, д. 4	72c02565-3f2d-4b6d-b595-7dedac0a54d3	"ООО ""УК-15"""
125	НИКОЛАЕВА  12	367000, Респ Дагестан, г Махачкала, ул братьев Нурбагандовых, д. 12	9869cb0a-e63b-4c28-ba77-602c4d28ccf8	ООО УО  ЖЭУ -4
126	НИКОЛАЕВА  12Б	367000, Респ Дагестан, г Махачкала, ул братьев Нурбагандовых, д. 12б	1933a060-4107-4851-a910-994f7a6749ff	ЧАСТНЫЙ ДОМ 
127	ОГАРЕВА   6	367014, Респ Дагестан, г Махачкала, ул Огарева, д. 12	44a867d0-70f7-468d-b5b4-ed5aed82e4b7	ООО «УК-16»
128	ОРДЖОНИКИДЗЕ   3	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 3	e5fde669-55d8-4a3d-b544-3cf769ea0fcc	"ООО ""УК-3"""
129	ОРДЖОНИКИДЗЕ  62	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 62	04b04402-ef05-450b-b951-acc12e11f963	"ООО ""УК-3"""
130	ОРДЖОНИКИДЗЕ  64	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 64	b13d3397-a1f7-4c27-af53-e1165a303eb0	"ООО ""УК-3"""
131	ОРДЖОНИКИДЗЕ  66	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 66	a243e176-e97c-4d28-900f-7fac3a18e18c	"ООО ""УК-3"""
132	ОРДЖОНИКИДЗЕ 169	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 169	27034d18-11fc-4f6f-91cf-82afd77933b6	"ООО ""УК-3"""
133	ОРДЖОНИКИДЗЕ 169А	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 169а	73f21e86-dfcd-427e-b296-c275893bbd61	"ООО ""УК-3"""
134	ОРДЖОНИКИДЗЕ 171	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 171	432702a3-bc8b-4b01-953c-befbcfee35a3	"ООО ""УК-3"""
135	ОРДЖОНИКИДЗЕ 171А	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 171а	5ffa7ed0-1029-4ace-8e91-b409e85e0b42	ЧАСТНЫЙ ДОМ 
136	ОРДЖОНИКИДЗЕ 173	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 173	6cddc13f-1067-4eab-8c8e-9a3e1a70977c	"ООО ""УК-3"""
137	ОРДЖОНИКИДЗЕ 175	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 175	7dbd197e-9acf-4e64-bf9b-f5c3d0651935	"ООО ""УК-3"""
138	ОРДЖОНИКИДЗЕ 177	367009, Респ Дагестан, г Махачкала, ул Мирзабекова, д. 177	7735c964-fecd-4433-9969-34b5a74d7dce	ЧАСТНЫЙ ДОМ 
139	ПЕРОВА   1	367014, Респ Дагестан, г Махачкала, ул Перова, д. 1	7254170d-93c1-470c-aa35-22c14db4edcb	ООО «УК-16»
140	ПЕРОВА   2(Юсупова 2)	Респ Дагестан, г Махачкала, ул Абдулхамида Юсупова, д. 8	2c923390-0cdb-42bf-80d2-8eab1d471638	ООО «УК-16»
141	ПЕРОВА   3	367014, Респ Дагестан, г Махачкала, ул Перова, д. 3	ebe67087-0e3d-46d2-962d-2331187c60a1	ООО «УК-16»
142	ПЕРОВА   4	Респ Дагестан, г Махачкала, пр-д Абдулхамида Юсупова, д. 4	5124e6ff-ca0b-4f9a-bdec-9a9e425c5d7e	ООО «УК-16»
143	ПЕРОВА   62 (28 ЛС)	367014, Респ Дагестан, г Махачкала, ул Перова, д. 62	afad3067-152a-4b06-b93c-aaeafd3be3e4	СВЕДЕНИЯ ОТСУТСТВУЮТ 
144	ПЕРОВА   7	367014, Респ Дагестан, г Махачкала, ул Перова, д. 7	f22b2dc3-7390-435e-9221-70ccda2ce742	ООО «УК-16»
145	ПЕРОВА   9	367014, Респ Дагестан, г Махачкала, ул Перова, д. 9	83824d74-7b2c-43bd-aeb0-6ba1f1909c69	ООО «УК-16»
146	ПЕРОВА  11	367014, Респ Дагестан, г Махачкала, ул Перова, д. 11	a06280b0-f738-454f-8659-5f9314b4cc63	ООО «УК-16»
147	ПЕРОВА  15	367014, Респ Дагестан, г Махачкала, ул Перова, д. 15	6db873d6-d37b-469d-91a5-8728c408d456	ООО «УК-16»
148	ПОРТ.ШОССЕ   1	367000, Респ Дагестан, г Махачкала, ул Портовское шоссе, д. 1	c0d6aa0a-769e-4b85-bdc7-6a7c6c7e8d2a	НАХОДИТСЯ ПОД НЕПОСРЕДСТВЕННЫМ УПРАВЛЕНИЕМ 
149	ПОРТ.ШОССЕ   2	367000, Респ Дагестан, г Махачкала, ул Портовское шоссе, д. 2	22f9d028-02c2-4813-9d0f-de5f4b13a156	"ООО ""УК-3"""
150	ПОРТ.ШОССЕ   4	367000, Респ Дагестан, г Махачкала, ул Портовское шоссе, стр. 4	205072c5-0654-4807-81e5-b467c639ecbe	"ООО ""УК-3"""
151	ПОРТ.ШОССЕ   5	367000, Респ Дагестан, г Махачкала, ул Портовское шоссе, д. 5	a911dc7a-cfa0-4b57-a186-a65b2f940e5f	"ООО ""УК-3"""
152	ПУГАЧЕВА   2А	367999, Респ Дагестан, г Махачкала, ул Пугачева, д. 10	bb40bd7c-2884-4378-85c3-ec7326e17cd0	ООО УО  ЖЭУ -14
153	ПУГАЧЕВА   2Б (9 ЛС)	Респ Дагестан, г Махачкала, ул Пугачева, д. 10б	7daeacbd-c8f4-499d-96e5-1a570c0ced93	НЕ ПОСТАВЛЯЕМ УСЛУГИ 
154	ПУГАЧЕВА   2В	367008, Респ Дагестан, г Махачкала, ул Пугачева, д. 2В	1461f94b-5552-4cbe-925c-d0bc981effd0	ООО УО  ЖЭУ -14
155	ПУШКИНА  25	367002, Респ Дагестан, г Махачкала, ул Пушкина, д. 25	534f3e6e-7bc7-4241-bfca-11e3c62a43fe	ООО УО  ЖЭУ - 4
156	Р. ГАМЗАТОВА   1	367000, Респ Дагестан, г Махачкала, пр-кт Расула Гамзатова, д. 1	591b59b6-c5f9-4bce-9bc1-3ea911fdb882	"ТСЖ ""ДВОРЯНЕ """
157	Р. ГАМЗАТОВА   2	367000, Респ Дагестан, г Махачкала, пр-кт Расула Гамзатова, д. 2	cc7b8c6a-d8b7-43b4-b4b8-98a427363ade	"ТСЖ ""ДВОРЯНЕ """
158	Р. ГАМЗАТОВА   4	367000, Респ Дагестан, г Махачкала, пр-кт Расула Гамзатова, д. 4	02104917-f728-4295-a8d0-44f9e31902fb	"ТСЖ ""ДВОРЯНЕ """
159	СЕПАРАТОРНАЯ   4	367003, Респ Дагестан, г Махачкала, ул Абдулхамида Юсупова, д. 42а	5168c2ed-94a9-4046-9ac2-243370badd33	ООО «УК-16»
160	СОЛДАТСКАЯ   7	367014, Респ Дагестан, г Махачкала, ул Солдатская, д. 7	3d7a50ac-68e4-48c9-97ee-34015741e9ce	ООО «УК-16»
161	СТЕПНОЙ МК-52   3 (2 ЛС)	НЕАКТУАЛЬНЫЙ АДРЕСС	2 ЛС	НЕ ПОСТАВЛЯЮТСЯ РЕСУРСЫ 
162	СТЕПНОЙ ПОСЕЛОК   2	 г Махачкала, ул Степная, д.2	2d71518a-d2e3-4889-9332-ef0efefdedc0	МУП ЖЭУ - 3
163	СТЕПНОЙ ПОСЕЛОК   3	367030, Респ Дагестан, г Махачкала, ул Азизова, д. 25	9ebdf33e-ef5c-4516-af2e-68069585d96a	ООО УО-20
